Wall time,Step,Value
1685126794.982542,1327,35.0
1685126795.7913682,1330,35.0
1685126796.2167852,1332,25.0
1685126796.3365157,1333,16.0
1685126796.5763764,1334,34.0
1685126796.822774,1335,33.0
1685126796.8838038,1336,9.0
1685126796.945959,1337,9.0
1685126797.3918297,1340,17.0
1685126797.949533,1343,9.0
1685126798.376035,1345,27.0
1685126798.8966038,1348,22.0
1685126799.173942,1349,34.0
1685126799.37783,1350,27.0
1685126799.6181374,1351,34.0
1685126800.1557372,1355,22.0
1685126800.7828507,1359,34.0
1685126801.1993244,1361,34.0
1685126801.3143494,1362,15.0
1685126802.0964894,1366,24.0
1685126802.3206224,1367,34.0
1685126803.0526698,1370,35.0
1685126803.89125,1373,27.0
1685126804.4848325,1375,35.0
1685126804.9847443,1377,25.0
1685126805.062869,1378,10.0
1685126805.3040977,1379,33.0
1685126806.0045786,1382,27.0
1685126806.1735408,1384,10.0
1685126806.4333408,1385,33.0
1685126806.722087,1387,29.0
1685126806.7916462,1388,10.0
1685126807.012924,1389,31.0
1685126807.5078144,1391,34.0
1685126807.7890868,1392,35.0
1685126808.5043108,1395,33.0
1685126809.395784,1400,19.0
1685126812.121741,1412,30.0
1685126812.2964811,1413,24.0
1685126812.5167341,1414,29.0
1685126812.7563262,1415,32.0
1685126813.5750916,1419,23.0
1685126814.07305,1422,31.0
1685126814.3097,1423,35.0
1685126814.7198117,1425,29.0
1685126814.9433932,1426,30.0
1685126815.1515415,1427,30.0
1685126815.3744676,1428,33.0
1685126816.2766025,1432,30.0
1685126816.5417554,1433,30.0
1685126816.7898765,1434,29.0
1685126817.2926912,1436,31.0
1685126817.8798418,1437,29.0
1685126818.6498623,1438,32.0
1685126819.1881554,1440,30.0
1685126819.7696455,1442,30.0
1685126821.197199,1448,26.0
1685126821.7438793,1450,33.0
1685126823.10038,1455,31.0
1685126823.4302444,1456,33.0
1685126825.856137,1465,29.0
1685126826.1225033,1466,32.0
1685126827.0586705,1470,33.0
1685126827.7300797,1474,32.0
1685126828.2811754,1477,25.0
1685126829.049581,1480,30.0
1685126829.3355124,1481,30.0
1685126829.5952919,1482,31.0
1685126830.2536426,1485,34.0
1685126830.5557253,1486,31.0
1685126831.2407887,1489,31.0
1685126831.5002139,1491,9.0
1685126831.7307055,1492,29.0
1685126831.9747653,1493,29.0
1685126833.3658724,1500,29.0
1685126833.5606923,1501,27.0
1685126833.7417948,1502,26.0
1685126833.9867089,1503,34.0
1685126834.4139488,1505,35.0
1685126834.6089056,1506,28.0
1685126834.8527167,1507,34.0
1685126835.0132918,1508,24.0
1685126835.2254028,1509,30.0
1685126835.4590697,1510,32.0
1685126835.6934009,1511,31.0
1685126836.1516328,1513,29.0
1685126836.787694,1516,25.0
1685126837.216848,1518,30.0
1685126838.1865025,1523,24.0
1685126838.391626,1524,28.0
1685126838.624319,1525,33.0
1685126839.0781715,1527,28.0
1685126840.604641,1534,34.0
1685126841.0078955,1536,22.0
1685126842.1133678,1541,33.0
1685126842.4385393,1542,35.0
1685126843.5257936,1546,20.0
1685126844.0137467,1548,22.0
1685126844.2317953,1549,27.0
1685126844.816295,1551,34.0
1685126845.1862438,1552,35.0
1685126845.650548,1554,26.0
1685126845.883583,1555,25.0
1685126847.4458442,1561,24.0
1685126847.6760874,1562,29.0
1685126847.938455,1563,34.0
1685126849.160641,1568,34.0
1685126849.354815,1569,26.0
1685126851.7166657,1578,22.0
1685126852.016407,1579,34.0
1685126852.7975948,1582,27.0
1685126853.4446468,1584,34.0
1685126854.1215844,1586,34.0
1685126854.654606,1588,28.0
1685126855.199662,1590,35.0
1685126856.2045515,1593,32.0
